videoId,chunkIndex,content,startMs,endMs
a89e3671-971b-44e4-a3be-c0aa64630c40,63,"Cities and nations regularly use simulations to predict future trends and to decide how to spend resources and plan for the future. And there are climate simulations where computers are used to predict the future of our entire planet. Taken all together, the decisions made based on simulations have consequences measured in the trillions of dollars, or sometimes matters of life and death, and affect basically everyone on the planet.",1806720,1833390
ac116d4c-6436-4ffc-a979-3f09fa649bd5,6,"Oh no, he's got a pretty big lawn, yeah. Shirley and Bobby haven't figured out the formula for measuring the area of a rectangle yet, but they have figured out two vital clues. What a square meter is. And how square meters or square anything can cover a surface like your TV screen. You measure area in square units, and you can count the number of squares or parts of squares that it takes to cover a surface. Jeez, this is 5 times bigger than Mr. Freeman's lawn. Yeah, cross your fingers.",277779,333839
8c05dc02-d2de-4e8d-bfff-9833470fa2bd,17,"And then current value changes every time depending on which iteration we're on, which element we're actually using. So this is a simple example of multiplying everything. We saw how we could sum all elements in an array. Next, we'll see some more advanced use cases for reduce.",513088,529169
e12a7b28-734e-40ca-a864-a9fb59779b65,9,"I cannot change the past, but I can imagine different ideas. Now if I imagine different ideas. So past the past, we cannot change it, but we can talk about different possibilities. And if I had not left the house late, I would have arrived on time. So the previous idea was I left the house late. And I was late for work. If I had not left the house late, so had not as negative. But it's true, I left the house late and I would have arrived on time, but I didn't arrive on time.",389150,440020
8683399c-1504-4457-8f21-f951a71f33e5,2,"We could just use arrows to represent keys and values. We could, uh, what else can we do? We could do colons. Or we could go with XML, which is one format. I'll show you what it looks like. It stands for extensible Markup Language. You can think of XML as a very, very broad, almost the parent of HTML. It looks like HTML except the element names are very different. They're not actual elements. XML is a way of just grouping content and adding meaning to your data.",59970,94190
ef4b25b9-6d3b-4039-963a-e1f562b3cece,8,"When we run this, we see that it indeed creates a red line with blue crosses marking each data point. We can also print two plots on the same graph. In this case, we'll create a set of cubes. We'll plot that one in green with green circles marking the data points. All it takes is to create another list of y values and then to call plot a second time with the parameters for the second plot we want.",258770,285200
a89e3671-971b-44e4-a3be-c0aa64630c40,36,"Well, you'd want to change your random function. In this case, we could use the Gauss or the normal variant function in the random library to create this distribution. In this case, I used Gauss, which is short for Gaussian, the normal bell curve distribution that we're familiar with. Because we've separated out the change in balance routine, it's easy to change to a different model where we calculate the change by some other mechanism. Say for example, that we wanted to stimulate a stock fund.",1056290,1087740
ef4b25b9-6d3b-4039-963a-e1f562b3cece,18,"It doesn't matter how great a programmer is, how sophisticated a simulation is, or how powerful a computer is. If the model or the initial conditions are wrong, the result is unreliable. So for a typical simulation we're given a model of behavior and some initial condition. Now we refer to the overall values that we're wanting to simulate as the state of the system. The initial conditions will be a starting state, S0, at a starting time, T0.",538310,569420
8c05dc02-d2de-4e8d-bfff-9833470fa2bd,15,"So we get 12, and then all the way over here, I don't know why I made it so far away, we have 5. Now, what's 5 x 12? What is that? 60? Is that right? Yeah, right. OK, so, the return value is 60 this time. And 60 is now the new total, and current vow is going to be 6. So we have 60 and then 6. And then the callback is called one more time. 60 times 6 is 3600. No, 360, excuse me. So that is the new total, that is returned from this iteration here. Return total, 60 times 6, that's 360.",440359,483920
ac116d4c-6436-4ffc-a979-3f09fa649bd5,12,"And remember, you always measure area in square units. the Once upon a time, there was a family of witches, Mother witch and her two daughters, Griselda and Wanda. One day, their mother called them to her side. Have to leave you when I die. Is my library of books on magic spells, my magic wand, and a small plot of land. Wanda can have the wand. I'll take the books. Oh, and I'd better take the land as well because I'm. That wouldn't be fair. We'll have a contest.",585830,629650
8c05dc02-d2de-4e8d-bfff-9833470fa2bd,9,"So again, think of it this way, we're taking a bunch of values and we're reducing them down to a single value, and the function that we pass in has to follow this format where the first thing is a total or the accumulator or just the place, the value that you are reducing, and it will hold a value each time that changes or it can change. So every time this function runs, it's past the previous return value of the function. And then current value is whichever value we're working on.",263519,292200
8c05dc02-d2de-4e8d-bfff-9833470fa2bd,11,"You can see here I'm actually getting the autocomplete or the preview, where the first value or the first parameter, they call it previous value in VS code, and current value is the second parameter. Let's call this one total instead of accumulator. Accumulator sounds a little intense, so total and then cur cur valel. I guess current vowel is fine.",319609,341290
ef4b25b9-6d3b-4039-963a-e1f562b3cece,39,"It has functions such as mean and STDV for standard deviation to calculate the overall mean and standard deviation of a list. The larger the standard deviation, the more volatile our investment is. So, we can modify our code to import the statistics module, and then at the end of the program, we print out the average and the standard deviation from all of our runs. If we run this code, we see that we get a pretty high balance, and we also get a pretty big standard deviation.",1145630,1177080
ef4b25b9-6d3b-4039-963a-e1f562b3cece,24,"But for the rest of this lecture, I want to focus on a particular class of simulations called Monte Carlo simulations. Now, when I say Monte Carlo, you might think of the famous casino in Monaco. If you think of casinos and gambling, you should think about probabilities and how casinos make money. Although the result of any one roll of the dice or spin of the wheel might be random, they know that over time, there will be a certain percentage of the time that they win.",730840,757510
ef4b25b9-6d3b-4039-963a-e1f562b3cece,30,"Instead of increasing our balance by 3% each year, we might change the balance by a random percentage. A simple way to do this might be to imagine that we can select a maximum level and a minimum level, and every rate in between is equally likely. We could modify our code to pick a random rate of return each year for that investment. We import the random module and then we use the uniform command to pick a random rate in between some maximum and some minimum.",877480,907500
02ad6b79-b765-4293-bb0a-e8771da641a8,14,"You got to go back to the store and get another 2/10 kilograms of meat. OK, Kate, you want to stay for supper? We're going to have enough, of course. You can't live by numbers alone, you know, even decimals. It is tricky sometimes trying to figure out which of two decimals is larger. The boys thought that 3,300s was larger than 5/10 because it had more digits. Remember, the first clue is in the 10th column.",516304,542169
